 disease,code
Postdysenteric arthropathy_ multiple sites,7113
Arthropathy associated with other bacterial diseases_ site unspecified,7114
Arthropathy associated with other bacterial diseases_ shoulder region,7114
Arthropathy associated with other bacterial diseases_ upper arm,7114
Arthropathy associated with other bacterial diseases_ forearm,7114
Arthropathy associated with other bacterial diseases_ hand,7114
Arthropathy associated with other bacterial diseases_ pelvic region and thigh,7114
Arthropathy associated with other bacterial diseases_ lower leg,7114
Arthropathy associated with other bacterial diseases_ ankle and foot,7114
Arthropathy associated with other bacterial diseases_ other specified sites,7114
Arthropathy associated with other bacterial diseases_ multiple sites,7114
Arthropathy associated with other viral diseases_ site unspecified,7115
Arthropathy associated with other viral diseases_ shoulder region,7115
Arthropathy associated with other viral diseases_ upper arm,7115
Arthropathy associated with other viral diseases_ forearm,7115
Arthropathy associated with other viral diseases_ hand,7115
Arthropathy associated with other viral diseases_ pelvic region and thigh,7115
Arthropathy associated with other viral diseases_ lower leg,7115
Arthropathy associated with other viral diseases_ ankle and foot,7115
Arthropathy associated with other viral diseases_ other specified sites,7115
Arthropathy associated with other viral diseases_ multiple sites,7115
Arthropathy associated with mycoses_ site unspecified,7116
Arthropathy associated with mycoses_ shoulder region,7116
Arthropathy associated with mycoses_ upper arm,7116
Arthropathy associated with mycoses_ forearm,7116
Arthropathy associated with mycoses_ hand,7116
Arthropathy associated with mycoses_ pelvic region and thigh,7116
Arthropathy associated with mycoses_ lower leg,7116
Arthropathy associated with mycoses_ ankle and foot,7116
Arthropathy associated with mycoses_ other specified sites,7116
Arthropathy associated with mycoses_ involving multiple sites,7116
Arthropathy associated with helminthiasis_ site unspecified,7117
Arthropathy associated with helminthiasis_ shoulder region,7117
Arthropathy associated with helminthiasis_ upper arm,7117
Arthropathy associated with helminthiasis_ forearm,7117
Arthropathy associated with helminthiasis_ hand,7117
Arthropathy associated with helminthiasis_ pelvic region and thigh,7117
Arthropathy associated with helminthiasis_ lower leg,7117
Arthropathy associated with helminthiasis_ ankle and foot,7117
Arthropathy associated with helminthiasis_ other specified sites,7117
Arthropathy associated with helminthiasis_ multiple sites,7117
Arthropathy associated with other infectious and parasitic diseases_ site unspecified,7118
Arthropathy associated with other infectious and parasitic diseases_ shoulder region,7118
Arthropathy associated with other infectious and parasitic diseases_ upper arm,7118
Arthropathy associated with other infectious and parasitic diseases_ forearm,7118
Arthropathy associated with other infectious and parasitic diseases_ hand,7118
Arthropathy associated with other infectious and parasitic diseases_ pelvic region and thigh,7118
Arthropathy associated with other infectious and parasitic diseases_ lower leg,7118
Arthropathy associated with other infectious and parasitic diseases_ ankle and foot,7118
Arthropathy associated with other infectious and parasitic diseases_ other specified sites,7118
Arthropathy associated with other infectious and parasitic diseases_ multiple sites,7118
Unspecified infective arthritis_ site unspecified,7119
Unspecified infective arthritis_ shoulder region,7119
Unspecified infective arthritis_ upper arm,7119
Unspecified infective arthritis_ forearm,7119
Unspecified infective arthritis_ hand,7119
Unspecified infective arthritis_ pelvic region and thigh,7119
Unspecified infective arthritis_ lower leg,7119
Unspecified infective arthritis_ ankle and foot,7119
Unspecified infective arthritis_ other specified sites,7119
Unspecified infective arthritis_ multiple sites,7119
Chondrocalcinosis_ due to dicalcium phosphate crystals_ site unspecified,7121
Chondrocalcinosis_ due to dicalcium phosphate crystals_ shoulder region,7121
Chondrocalcinosis_ due to dicalcium phosphate crystals_ upper arm,7121
Chondrocalcinosis_ due to dicalcium phosphate crystals_ forearm,7121
Chondrocalcinosis_ due to dicalcium phosphate crystals_ hand,7121
Chondrocalcinosis_ due to dicalcium phosphate crystals_ pelvic region and thigh,7121
Chondrocalcinosis_ due to dicalcium phosphate crystals_ lower leg,7121
Chondrocalcinosis_ due to dicalcium phosphate crystals_ ankle and foot,7121
Chondrocalcinosis_ due to dicalcium phosphate crystals_ other specified sites,7121
Chondrocalcinosis_ due to dicalcium phosphate crystals_ multiple sites,7121
Chondrocalcinosis_ due to pyrophosphate crystals_ site unspecified,7122
Chondrocalcinosis_ due to pyrophosphate crystals_ shoulder region,7122
Chondrocalcinosis_ due to pyrophosphate crystals_ upper arm,7122
Chondrocalcinosis_ due to pyrophosphate crystals_ forearm,7122
Chondrocalcinosis_ due to pyrophosphate crystals_ hand,7122
Chondrocalcinosis_ due to pyrophosphate crystals_ pelvic region and thigh,7122
Chondrocalcinosis_ due to pyrophosphate crystals_ lower leg,7122
Chondrocalcinosis_ due to pyrophosphate crystals_ ankle and foot,7122
Chondrocalcinosis_ due to pyrophosphate crystals_ other specified sites,7122
Chondrocalcinosis_ due to pyrophosphate crystals_ multiple sites,7122
Chondrocalcinosis_ unspecified_ site unspecified,7123
Chondrocalcinosis_ unspecified_ shoulder region,7123
Chondrocalcinosis_ unspecified_ upper arm,7123
Chondrocalcinosis_ unspecified_ forearm,7123
Chondrocalcinosis_ unspecified_ hand,7123
Chondrocalcinosis_ unspecified_ pelvic region and thigh,7123
Chondrocalcinosis_ unspecified_ lower leg,7123
Chondrocalcinosis_ unspecified_ ankle and foot,7123
Chondrocalcinosis_ unspecified_ other specified sites,7123
Chondrocalcinosis_ unspecified_ multiple sites,7123
Other specified crystal arthropathies_ site unspecified,7128
Other specified crystal arthropathies_ shoulder region,7128
Other specified crystal arthropathies_ upper arm,7128
Other specified crystal arthropathies_ forearm,7128
Other specified crystal arthropathies_ hand,7128
Other specified crystal arthropathies_ pelvic region and thigh,7128
Other specified crystal arthropathies_ lower leg,7128
Other specified crystal arthropathies_ ankle and foot,7128
Other specified crystal arthropathies_ other specified sites,7128
Other specified crystal arthropathies_ multiple sites,7128
Unspecified crystal arthropathy_ site unspecified,7129
Unspecified crystal arthropathy_ shoulder region,7129
Unspecified crystal arthropathy_ upper arm,7129
Unspecified crystal arthropathy_ forearm,7129
Unspecified crystal arthropathy_ hand,7129
Unspecified crystal arthropathy_ pelvic region and thigh,7129
Unspecified crystal arthropathy_ lower leg,7129
Unspecified crystal arthropathy_ ankle and foot,7129
Unspecified crystal arthropathy_ other specified sites,7129
Unspecified crystal arthropathy_ multiple sites,7129
 Arthropathy associated with other endocrine and metabolic disorders,7130
 Arthropathy associated with gastrointestinal conditions other than infections,7131
 Arthropathy associated with hematological disorders,7132
 Arthropathy associated with dermatological disorders,7133
 Arthropathy associated with respiratory disorders,7134
 Arthropathy associated with neurological disorders,7135
 Arthropathy associated with hypersensitivity reaction,7136
 Other general diseases with articular involvement,7137
 Arthropathy associated with other conditions classifiable elsewhere,7138
 Rheumatoid arthritis,7140
 Felty's syndrome,7141
 Other rheumatoid arthritis with visceral or systemic involvement,7142
Polyarticular juvenile rheumatoid arthritis_ chronic or unspecified,7143
Polyarticular juvenile rheumatoid arthritis_ acute,7143
Pauciarticular juvenile rheumatoid arthritis,7143
Monoarticular juvenile rheumatoid arthritis,7143
 Chronic postrheumatic arthropathy,7144
Rheumatoid lung,7148
Other specified inflammatory polyarthropathies,7148
 Unspecified inflammatory polyarthropathy,7149
Osteoarthrosis_ generalized_ site unspecified,7150
Osteoarthrosis_ generalized_ hand,7150
Osteoarthrosis_ generalized_ multiple sites,7150
Osteoarthrosis_ localized_ primary_ site unspecified,7151
Osteoarthrosis_ localized_ primary_ shoulder region,7151
Osteoarthrosis_ localized_ primary_ upper arm,7151
Osteoarthrosis_ localized_ primary_ forearm,7151
Osteoarthrosis_ localized_ primary_ hand,7151
Osteoarthrosis_ localized_ primary_ pelvic region and thigh,7151
Osteoarthrosis_ localized_ primary_ lower leg,7151
Osteoarthrosis_ localized_ primary_ ankle and foot,7151
Osteoarthrosis_ localized_ primary_ other specified sites,7151
Osteoarthrosis_ localized_ secondary_ site unspecified,7152
Osteoarthrosis_ localized_ secondary_ shoulder region,7152
Osteoarthrosis_ localized_ secondary_ upper arm,7152
Osteoarthrosis_ localized_ secondary_ forearm,7152
Osteoarthrosis_ localized_ secondary_ hand,7152
Osteoarthrosis_ localized_ secondary_ pelvic region and thigh,7152
Osteoarthrosis_ localized_ secondary_ lower leg,7152
Osteoarthrosis_ localized_ secondary_ ankle and foot,7152
Osteoarthrosis_ localized_ secondary_ other specified sites,7152
Osteoarthrosis_ localized_ not specified whether primary or secondary_ site unspecified,7153
Osteoarthrosis_ localized_ not specified whether primary or secondary_ shoulder region,7153
Osteoarthrosis_ localized_ not specified whether primary or secondary_ upper arm,7153
Osteoarthrosis_ localized_ not specified whether primary or secondary_ forearm,7153
Osteoarthrosis_ localized_ not specified whether primary or secondary_ hand,7153
Osteoarthrosis_ localized_ not specified whether primary or secondary_ pelvic region and thigh,7153
Osteoarthrosis_ localized_ not specified whether primary or secondary_ lower leg,7153
Osteoarthrosis_ localized_ not specified whether primary or secondary_ ankle and foot,7153
Osteoarthrosis_ localized_ not specified whether primary or secondary_ other specified sites,7153
Osteoarthrosis involving_ or with mention of more than one site_ but not specified as generalized_ site unspecified,7158
Osteoarthrosis involving_ or with mention of more than one site_ but not specified as generalized_ multiple sites,7158
Osteoarthrosis_ unspecified whether generalized or localized_ site unspecified,7159
Osteoarthrosis_ unspecified whether generalized or localized_ shoulder region,7159
Osteoarthrosis_ unspecified whether generalized or localized_ upper arm,7159
Osteoarthrosis_ unspecified whether generalized or localized_ forearm,7159
Osteoarthrosis_ unspecified whether generalized or localized_ hand,7159
Osteoarthrosis_ unspecified whether generalized or localized_ pelvic region and thigh,7159
Osteoarthrosis_ unspecified whether generalized or localized_ lower leg,7159
Osteoarthrosis_ unspecified whether generalized or localized_ ankle and foot,7159
Osteoarthrosis_ unspecified whether generalized or localized_ other specified sites,7159
Kaschin-Beck disease_ site unspecified,7160
Kaschin-Beck disease_ shoulder region,7160
Kaschin-Beck disease_ upper arm,7160
Kaschin-Beck disease_ forearm,7160
Kaschin-Beck disease_ hand,7160
Kaschin-Beck disease_ pelvic region and thigh,7160
Kaschin-Beck disease_ lower leg,7160
Kaschin-Beck disease_ ankle and foot,7160
Kaschin-Beck disease_ other specified sites,7160
Kaschin-Beck disease_ multiple sites,7160
Traumatic arthropathy_ site unspecified,7161
Traumatic arthropathy_ shoulder region,7161
Traumatic arthropathy_ upper arm,7161
Traumatic arthropathy_ forearm,7161
Traumatic arthropathy_ hand,7161
Traumatic arthropathy_ pelvic region and thigh,7161
Traumatic arthropathy_ lower leg,7161
Traumatic arthropathy_ ankle and foot,7161
Traumatic arthropathy_ other specified sites,7161
Traumatic arthropathy_ multiple sites,7161
Allergic arthritis_ site unspecified,7162
Allergic arthritis_ shoulder region,7162
Allergic arthritis_ upper arm,7162
Allergic arthritis_ forearm,7162
Allergic arthritis_ hand,7162
Allergic arthritis_ pelvic region and thigh,7162
Allergic arthritis_ lower leg,7162
Allergic arthritis_ ankle and foot,7162
Allergic arthritis_ other specified sites,7162
Allergic arthritis_ multiple sites,7162
Climacteric arthritis_ site unspecified,7163
Climacteric arthritis_ shoulder region,7163
Climacteric arthritis_ upper arm,7163
Climacteric arthritis_ forearm,7163
Climacteric arthritis_ hand,7163
Climacteric arthritis_ pelvic region and thigh,7163
Climacteric arthritis_ lower leg,7163
Climacteric arthritis_ ankle and foot,7163
Climacteric arthritis_ other specified sites,7163
Climacteric arthritis_ multiple sites,7163
Transient arthropathy_ site unspecified,7164
Transient arthropathy_ shoulder region,7164
Transient arthropathy_ upper arm,7164
Transient arthropathy_ forearm,7164
Transient arthropathy_ hand,7164
Transient arthropathy_ pelvic region and thigh,7164
Transient arthropathy_ lower leg,7164
Transient arthropathy_ ankle and foot,7164
Transient arthropathy_ other specified sites,7164
Transient arthropathy_ multiple sites,7164
Unspecified polyarthropathy or polyarthritis_ site unspecified,7165
Unspecified polyarthropathy or polyarthritis_ shoulder region,7165
Unspecified polyarthropathy or polyarthritis_ upper arm,7165
Unspecified polyarthropathy or polyarthritis_ forearm,7165
Unspecified polyarthropathy or polyarthritis_ hand,7165
Unspecified polyarthropathy or polyarthritis_ pelvic region and thigh,7165
Unspecified polyarthropathy or polyarthritis_ lower leg,7165
Unspecified polyarthropathy or polyarthritis_ ankle and foot,7165
Unspecified polyarthropathy or polyarthritis_ other specified sites,7165
Unspecified polyarthropathy or polyarthritis_ multiple sites,7165
Unspecified monoarthritis_ site unspecified,7166
Unspecified monoarthritis_ shoulder region,7166
Unspecified monoarthritis_ upper arm,7166
Unspecified monoarthritis_ forearm,7166
Unspecified monoarthritis_ hand,7166
Unspecified monoarthritis_ pelvic region and thigh,7166
Unspecified monoarthritis_ lower leg,7166
Unspecified monoarthritis_ ankle and foot,7166
Unspecified monoarthritis_ other specified sites,7166
Other specified arthropathy_ site unspecified,7168
Other specified arthropathy_ shoulder region,7168
Other specified arthropathy_ upper arm,7168
Other specified arthropathy_ forearm,7168
Other specified arthropathy_ hand,7168
Other specified arthropathy_ pelvic region and thigh,7168
Other specified arthropathy_ lower leg,7168
Other specified arthropathy_ ankle and foot,7168
Other specified arthropathy_ other specified sites,7168
Other specified arthropathy_ multiple sites,7168
Arthropathy_ unspecified_ site unspecified,7169
Arthropathy_ unspecified_ shoulder region,7169
Arthropathy_ unspecified_ upper arm,7169
Arthropathy_ unspecified_ forearm,7169
Arthropathy_ unspecified_ hand,7169
Arthropathy_ unspecified_ pelvic region and thigh,7169
Arthropathy_ unspecified_ lower leg,7169
Arthropathy_ unspecified_ ankle and foot,7169
Arthropathy_ unspecified_ other specified sites,7169
Arthropathy_ unspecified_ multiple sites,7169
 Old bucket handle tear of medial meniscus,7170
 Derangement of anterior horn of medial meniscus,7171
 Derangement of posterior horn of medial meniscus,7172
 Other and unspecified derangement of medial meniscus,7173
Derangement of lateral meniscus_ unspecified,7174
Bucket handle tear of lateral meniscus,7174
Derangement of anterior horn of lateral meniscus,7174
Derangement of posterior horn of lateral meniscus,7174
Other derangement of lateral meniscus,7174
 Derangement of meniscus_ not elsewhere classified,7175
 Loose body in knee,7176
 Chondromalacia of patella,7177
Old disruption of lateral collateral ligament,7178
Old disruption of medial collateral ligament,7178
Old disruption of anterior cruciate ligament,7178
Old disruption of posterior cruciate ligament,7178
Old disruption of other ligaments of knee,7178
Other internal derangement of knee,7178
 Unspecified internal derangement of knee,7179
Articular cartilage disorder_ site unspecified,7180
Articular cartilage disorder_ shoulder region,7180
Articular cartilage disorder_ upper arm,7180
Articular cartilage disorder_ forearm,7180
Articular cartilage disorder_ hand,7180
Articular cartilage disorder_ pelvic region and thigh,7180
Articular cartilage disorder_ ankle and foot,7180
Articular cartilage disorder_ other specified sites,7180
Articular cartilage disorder_ multiple sites,7180
Loose body in joint_ site unspecified,7181
Loose body in joint_ shoulder region,7181
Loose body in joint_ upper arm,7181
Loose body in joint_ forearm,7181
Loose body in joint_ hand,7181
Loose body in joint_ pelvic region and thigh,7181
Loose body in joint_ ankle and foot,7181
Loose body in joint_ other specified sites,7181
Loose body in joint_ multiple sites,7181
Pathological dislocation of joint_ site unspecified,7182
Pathological dislocation of joint_ shoulder region,7182
Pathological dislocation of joint_ upper arm,7182
Pathological dislocation of joint_ forearm,7182
Pathological dislocation of joint_ hand,7182
Pathological dislocation of joint_ pelvic region and thigh,7182
Pathological dislocation of joint_ lower leg,7182
Pathological dislocation of joint_ ankle and foot,7182
Pathological dislocation of joint_ other specified sites,7182
Pathological dislocation of joint_ multiple sites,7182
Recurrent dislocation of joint_ site unspecified,7183
Recurrent dislocation of joint_ shoulder region,7183
Recurrent dislocation of joint_ upper arm,7183
Recurrent dislocation of joint_ forearm,7183
Recurrent dislocation of joint_ hand,7183
Recurrent dislocation of joint_ pelvic region and thigh,7183
Recurrent dislocation of joint_ lower leg,7183
Recurrent dislocation of joint_ ankle and foot,7183
Recurrent dislocation of joint_ other specified sites,7183
Recurrent dislocation of joint_ multiple sites,7183
Contracture of joint_ site unspecified,7184
Contracture of joint_ shoulder region,7184
Contracture of joint_ upper arm,7184
Contracture of joint_ forearm,7184
Contracture of joint_ hand,7184
Contracture of joint_ pelvic region and thigh,7184
Contracture of joint_ lower leg,7184
Contracture of joint_ ankle and foot,7184
Contracture of joint_ other specified sites,7184
Contracture of joint_ multiple sites,7184
Ankylosis of joint_ site unspecified,7185
Ankylosis of joint_ shoulder region,7185
Ankylosis of joint_ upper arm,7185
Ankylosis of joint_ forearm,7185
Ankylosis of joint_ hand,7185
Ankylosis of joint_ pelvic region and thigh,7185
Ankylosis of joint_ lower leg,7185
Ankylosis of joint_ ankle and foot,7185
Ankylosis of joint_ other specified sites,7185
Ankylosis of joint_ multiple sites,7185
Unspecified intrapelvic protrusion of acetabulum_ pelvic region and thigh,7186
Developmental dislocation of joint_ site unspecified,7187
Developmental dislocation of joint_ shoulder region,7187
Developmental dislocation of joint_ upper arm,7187
Developmental dislocation of joint_ forearm,7187
Developmental dislocation of joint_ hand,7187
Developmental dislocation of joint_ pelvic region and thigh,7187
Developmental dislocation of joint_ lower leg,7187
Developmental dislocation of joint_ ankle and foot,7187
Developmental dislocation of joint_ other specified sites,7187
Developmental dislocation of joint_ multiple sites,7187
Other joint derangement_ not elsewhere classified_ site unspecified,7188
Other joint derangement_ not elsewhere classified_ shoulder region,7188
Other joint derangement_ not elsewhere classified_ upper arm,7188
Other joint derangement_ not elsewhere classified_ forearm,7188
Other joint derangement_ not elsewhere classified_ hand,7188
Other joint derangement_ not elsewhere classified_ pelvic region and thigh,7188
Other joint derangement_ not elsewhere classified_ lower leg,7188
Other joint derangement_ not elsewhere classified_ ankle and foot,7188
Other joint derangement_ not elsewhere classified_ other specified sites,7188
Other joint derangement_ not elsewhere classified_ multiple sites,7188
Unspecified derangement of joint_ site unspecified,7189
Unspecified derangement of joint_ shoulder region,7189
Unspecified derangement of joint_ upper arm,7189
Unspecified derangement of joint_ forearm,7189
Unspecified derangement of joint_ hand,7189
Unspecified derangement of joint_ pelvic region and thigh,7189
Unspecified derangement of joint_ ankle and foot,7189
Unspecified derangement of joint_ other specified sites,7189
Unspecified derangement of joint_ multiple sites,7189
Effusion of joint_ site unspecified,7190
Effusion of joint_ shoulder region,7190
Effusion of joint_ upper arm,7190
Effusion of joint_ forearm,7190
Effusion of joint_ hand,7190
Effusion of joint_ pelvic region and thigh,7190
Effusion of joint_ lower leg,7190
Effusion of joint_ ankle and foot,7190
Effusion of joint_ other specified sites,7190
Effusion of joint_ multiple sites,7190
Hemarthrosis_ site unspecified,7191
Hemarthrosis_ shoulder region,7191
Hemarthrosis_ upper arm,7191
Hemarthrosis_ forearm,7191
Hemarthrosis_ hand,7191
Hemarthrosis_ pelvic region and thigh,7191
Hemarthrosis_ lower leg,7191
Hemarthrosis_ ankle and foot,7191
Hemarthrosis_ other specified sites,7191
Hemarthrosis_ multiple sites,7191
Villonodular synovitis_ site unspecified,7192
Villonodular synovitis_ shoulder region,7192
Villonodular synovitis_ upper arm,7192
Villonodular synovitis_ forearm,7192
Villonodular synovitis_ hand,7192
Villonodular synovitis_ pelvic region and thigh,7192
Villonodular synovitis_ lower leg,7192
Villonodular synovitis_ ankle and foot,7192
Villonodular synovitis_ other specified sites,7192
Villonodular synovitis_ multiple sites,7192
Palindromic rheumatism_ site unspecified,7193
Palindromic rheumatism_ shoulder region,7193
Palindromic rheumatism_ upper arm,7193
Palindromic rheumatism_ forearm,7193
Palindromic rheumatism_ hand,7193
Palindromic rheumatism_ pelvic region and thigh,7193
Palindromic rheumatism_ lower leg,7193
Palindromic rheumatism_ ankle and foot,7193
Palindromic rheumatism_ other specified sites,7193
Palindromic rheumatism_ multiple sites,7193
Pain in joint_ site unspecified,7194
Pain in joint_ shoulder region,7194
Pain in joint_ upper arm,7194
Pain in joint_ forearm,7194
Pain in joint_ hand,7194
Pain in joint_ pelvic region and thigh,7194
Pain in joint_ lower leg,7194
Pain in joint_ ankle and foot,7194
Pain in joint_ other specified sites,7194
Pain in joint_ multiple sites,7194
Stiffness of joint_ not elsewhere classified_ site unspecified,7195
Stiffness of joint_ not elsewhere classified_ shoulder region,7195
Stiffness of joint_ not elsewhere classified_ upper arm,7195
Stiffness of joint_ not elsewhere classified_ forearm,7195
Stiffness of joint_ not elsewhere classified_ hand,7195
Stiffness of joint_ not elsewhere classified_ pelvic region and thigh,7195
Stiffness of joint_ not elsewhere classified_ lower leg,7195
Stiffness of joint_ not elsewhere classified_ ankle and foot,7195
Stiffness of joint_ not elsewhere classified_ other specified sites,7195
Stiffness of joint_ not elsewhere classified_ multiple sites,7195
Other symptoms referable to joint_ site unspecified,7196
Other symptoms referable to joint_ shoulder region,7196
Other symptoms referable to joint_ upper arm,7196
Other symptoms referable to joint_ forearm,7196
Other symptoms referable to joint_ hand,7196
Other symptoms referable to joint_ pelvic region and thigh,7196
Other symptoms referable to joint_ lower leg,7196
Other symptoms referable to joint_ ankle and foot,7196
Other symptoms referable to joint_ other specified sites,7196
Other symptoms referable to joint_ multiple sites,7196
 Difficulty in walking,7197
Other specified disorders of joint_ site unspecified,7198
Other specified disorders of joint_ shoulder region,7198
Other specified disorders of joint_ upper arm,7198
Other specified disorders of joint_ forearm,7198
Other specified disorders of joint_ hand,7198
Other specified disorders of joint_ pelvic region and thigh,7198
Other specified disorders of joint_ lower leg,7198
Other specified disorders of joint_ ankle and foot,7198
Other specified disorders of joint_ other specified sites,7198
Other specified disorders of joint_ multiple sites,7198
Unspecified disorder of joint_ site unspecified,7199
Unspecified disorder of joint_ shoulder region,7199
Unspecified disorder of joint_ upper arm,7199
Unspecified disorder of joint_ forearm,7199
Unspecified disorder of joint_ hand,7199
Unspecified disorder of joint_ pelvic region and thigh,7199
Unspecified disorder of joint_ lower leg,7199
Unspecified disorder of joint_ ankle and foot,7199
Unspecified disorder of joint_ other specified sites,7199
Unspecified disorder of joint_ multiple sites,7199
 Ankylosing spondylitis,7200
 Spinal enthesopathy,7201
 Sacroiliitis_ not elsewhere classified,7202
Inflammatory spondylopathies in diseases classified elsewhere,7208
Other inflammatory spondylopathies,7208
 Unspecified inflammatory spondylopathy,7209
 Cervical spondylosis without myelopathy,7210
 Cervical spondylosis with myelopathy,7211
 Thoracic spondylosis without myelopathy,7212
 Lumbosacral spondylosis without myelopathy,7213
Spondylosis with myelopathy_ thoracic region,7214
Spondylosis with myelopathy_ lumbar region,7214
 Kissing spine,7215
 Ankylosing vertebral hyperostosis,7216
 Traumatic spondylopathy,7217
 Other allied disorders of spine,7218
Spondylosis of unspecified site_ without mention of myelopathy,7219
Spondylosis of unspecified site_ with myelopathy,7219
 Displacement of cervical intervertebral disc without myelopathy,7220
Displacement of lumbar intervertebral disc without myelopathy,7221
Displacement of thoracic intervertebral disc without myelopathy,7221
 Displacement of intervertebral disc_ site unspecified_ without myelopathy,7222
Schmorl's nodes_ unspecified region,7223
Schmorl's nodes_ thoracic region,7223
Schmorl's nodes_ lumbar region,7223
Schmorl's nodes_ other region,7223
 Degeneration of cervical intervertebral disc,7224
Degeneration of thoracic or thoracolumbar intervertebral disc,7225
Degeneration of lumbar or lumbosacral intervertebral disc,7225
 Degeneration of intervertebral disc_ site unspecified,7226
Intervertebral disc disorder with myelopathy_ unspecified region,7227
Intervertebral disc disorder with myelopathy_ cervical region,7227
Intervertebral disc disorder with myelopathy_ thoracic region,7227
Intervertebral disc disorder with myelopathy_ lumbar region,7227
Postlaminectomy syndrome_ unspecified region,7228
Postlaminectomy syndrome_ cervical region,7228
Postlaminectomy syndrome_ thoracic region,7228
Postlaminectomy syndrome_ lumbar region,7228
Other and unspecified disc disorder_ unspecified region,7229
Other and unspecified disc disorder_ cervical region,7229
Other and unspecified disc disorder_ thoracic region,7229
Other and unspecified disc disorder_ lumbar region,7229
 Spinal stenosis in cervical region,7230
 Cervicalgia,7231
 Cervicocranial syndrome,7232
 Cervicobrachial syndrome (diffuse),7233
 Brachial neuritis or radiculitis NOS,7234
 Torticollis_ unspecified,7235
 Panniculitis specified as affecting neck,7236
 Ossification of posterior longitudinal ligament in cervical region,7237
 Other syndromes affecting cervical region,7238
 Unspecified musculoskeletal disorders and symptoms referable to neck,7239
Spinal stenosis_ unspecified region,7240
Spinal stenosis_ thoracic region,7240
Spinal stenosis_ lumbar region_ without neurogenic claudication,7240
Spinal stenosis_ lumbar region_ with neurogenic claudication,7240
Spinal stenosis_ other region,7240
 Pain in thoracic spine,7241
 Lumbago,7242
 Sciatica,7243
 Thoracic or lumbosacral neuritis or radiculitis_ unspecified,7244
 Backache_ unspecified,7245
 Disorders of sacrum,7246
Unspecified disorder of coccyx,7247
Hypermobility of coccyx,7247
Other disorders of coccyx,7247
 Other symptoms referable to back,7248
 Other unspecified back disorders,7249
.  Polymyalgia rheumatica,725
 Adhesive capsulitis of shoulder,7260
Disorders of bursae and tendons in shoulder region_ unspecified,7261
Calcifying tendinitis of shoulder,7261
Bicipital tenosynovitis,7261
Partial tear of rotator cuff,7261
Other specified disorders of bursae and tendons in shoulder region,7261
 Other affections of shoulder region_ not elsewhere classified,7262
Enthesopathy of elbow_ unspecified,7263
Medial epicondylitis,7263
Lateral epicondylitis,7263
Olecranon bursitis,7263
Other enthesopathy of elbow region,7263
 Enthesopathy of wrist and carpus,7264
 Enthesopathy of hip region,7265
Enthesopathy of knee_ unspecified,7266
Pes anserinus tendinitis or bursitis,7266
Tibial collateral ligament bursitis,7266
Fibular collateral ligament bursitis,7266
Patellar tendinitis,7266
Prepatellar bursitis,7266
Other enthesopathy of knee,7266
Enthesopathy of ankle and tarsus_ unspecified,7267
Achilles bursitis or tendinitis,7267
Tibialis tendinitis,7267
Calcaneal spur,7267
Other enthesopathy of ankle and tarsus,7267
 Other peripheral enthesopathies,7268
Enthesopathy of unspecified site,7269
Exostosis of unspecified site,7269
Synovitis and tenosynovitis_ unspecified,7270
Synovitis and tenosynovitis in diseases classified elsewhere,7270
Giant cell tumor of tendon sheath,7270
Trigger finger (acquired),7270
Radial styloid tenosynovitis,7270
Other tenosynovitis of hand and wrist,7270
Tenosynovitis of foot and ankle,7270
Other synovitis and tenosynovitis,7270
 Bunion,7271
 Specific bursitides often of occupational origin,7272
 Other bursitis,7273
Synovial cyst_ unspecified,7274
Ganglion of joint,7274
Ganglion of tendon sheath,7274
Ganglion_ unspecified,7274
Other ganglion and cyst of synovium_ tendon_ and bursa,7274
Rupture of synovium_ unspecified,7275
Synovial cyst of popliteal space,7275
Other rupture of synovium,7275
Nontraumatic rupture of unspecified tendon,7276
Complete rupture of rotator cuff,7276
Nontraumatic rupture of tendons of biceps (long head),7276
Nontraumatic rupture of extensor tendons of hand and wrist,7276
Nontraumatic rupture of flexor tendons of hand and wrist,7276
Nontraumatic rupture of quadriceps tendon,7276
Nontraumatic rupture of patellar tendon,7276
Nontraumatic rupture of achilles tendon,7276
Nontraumatic rupture of other tendons of foot and ankle,7276
Nontraumatic rupture of other tendon,7276
Contracture of tendon (sheath),7278
Calcium deposits in tendon and bursa,7278
Plica syndrome,7278
Other disorders of synovium_ tendon_ and bursa,7278
 Unspecified disorder of synovium_ tendon_ and bursa,7279
 Infective myositis,7280
Calcification and ossification_ unspecified,7281
Progressive myositis ossificans,7281
Traumatic myositis ossificans,7281
Postoperative heterotopic calcification,7281
Other muscular calcification and ossification,7281
 Muscular wasting and disuse atrophy_ not elsewhere classified,7282
 Other specific muscle disorders,7283
 Laxity of ligament,7284
 Hypermobility syndrome,7285
 Contracture of palmar fascia,7286
Plantar fascial fibromatosis,7287
Other fibromatoses of muscle_ ligament_ and fascia,7287
Interstitial myositis,7288
Foreign body granuloma of muscle,7288
Rupture of muscle_ nontraumatic,7288
Diastasis of muscle,7288
Spasm of muscle,7288
Necrotizing fasciitis,7288
Muscle weakness (generalized),7288
Rhabdomyolysis,7288
Other disorders of muscle_ ligament_ and fascia,7288
 Unspecified disorder of muscle_ ligament_ and fascia,7289
 Rheumatism_ unspecified and fibrositis,7290
 Myalgia and myositis_ unspecified,7291
 Neuralgia_ neuritis_ and radiculitis_ unspecified,7292
Panniculitis_ unspecified site,7293
