DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
574_3_1,"Calculus of bile duct with acute cholecystitis, with obstruction",Choledochlith/ac gb-obst
574_4_0,"Calculus of bile duct with other cholecystitis, without mention of obstruction",Choledochlith/gb inf NEC
574_4_1,"Calculus of bile duct with other cholecystitis, with obstruction",Choledochlith/gb NEC-obs
574_5_0,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction",Choledocholithiasis NOS
574_5_1,"Calculus of bile duct without mention of cholecystitis, with obstruction",Choledochlith NOS w obst
574_6_0,"Calculus of gallbladder and bile duct with acute cholecystitis, without mention of obstruction",Gall&bil cal w/ac w/o ob
574_6_1,"Calculus of gallbladder and bile duct with acute cholecystitis, with obstruction",Gall&bil cal w/ac w obs
574_7_0,"Calculus of gallbladder and bile duct with other cholecystitis, without mention of obstruction",Gal&bil cal w/oth w/o ob
574_7_1,"Calculus of gallbladder and bile duct with other cholecystitis, with obstruction",Gall&bil cal w/oth w obs
574_8_0,"Calculus of gallbladder and bile duct with acute and chronic cholecystitis, without mention of obstruction",Gal&bil cal w/ac&chr w/o
574_8_1,"Calculus of gallbladder and bile duct with acute and chronic cholecystitis, with obstruction",Gal&bil cal w/ac&ch w ob
574_9_0,"Calculus of gallbladder and bile duct without cholecystitis, without mention of obstruction",Gall&bil cal w/o cho w/o
574_9_1,"Calculus of gallbladder and bile duct without cholecystitis, with obstruction",Gall&bil cal w/o ch w ob
575_0,Acute cholecystitis,Acute cholecystitis
575_1_0,"Cholecystitis, unspecified",Cholecystitis NOS
575_1_1,Chronic cholecystitis,Chronic cholecystitis
575_1_2,Acute and chronic cholecystitis,Acte & chr cholecystitis
575_2,Obstruction of gallbladder,Obstruction gallbladder
575_3,Hydrops of gallbladder,Hydrops of gallbladder
575_4,Perforation of gallbladder,Perforation gallbladder
575_5,Fistula of gallbladder,Fistula of gallbladder
575_6,Cholesterolosis of gallbladder,Gb cholesterolosis
575_8,Other specified disorders of gallbladder,Dis of gallbladder NEC
575_9,Unspecified disorder of gallbladder,Dis of gallbladder NOS
576_0,Postcholecystectomy syndrome,Postcholecystectomy synd
576_1,Cholangitis,Cholangitis
576_2,Obstruction of bile duct,Obstruction of bile duct
576_3,Perforation of bile duct,Perforation of bile duct
576_4,Fistula of bile duct,Fistula of bile duct
576_5,Spasm of sphincter of Oddi,Spasm sphincter of oddi
576_8,Other specified disorders of biliary tract,Dis of biliary tract NEC
576_9,Unspecified disorder of biliary tract,Dis of biliary tract NOS
577_0,Acute pancreatitis,Acute pancreatitis
577_1,Chronic pancreatitis,Chronic pancreatitis
577_2,Cyst and pseudocyst of pancreas,Pancreat cyst/pseudocyst
577_8,Other specified diseases of pancreas,Pancreatic disease NEC
577_9,Unspecified disease of pancreas,Pancreatic disease NOS
578_0,Hematemesis,Hematemesis
578_1,Blood in stool,Blood in stool
578_9,"Hemorrhage of gastrointestinal tract, unspecified",Gastrointest hemorr NOS
579_0,Celiac disease,Celiac disease
579_1,Tropical sprue,Tropical sprue
579_2,Blind loop syndrome,Blind loop syndrome
579_3,Other and unspecified postsurgical nonabsorption,Intest postop nonabsorb
579_4,Pancreatic steatorrhea,Pancreatic steatorrhea
579_8,Other specified intestinal malabsorption,Intest malabsorption NEC
579_9,Unspecified intestinal malabsorption,Intest malabsorption NOS
580_0,Acute glomerulonephritis with lesion of proliferative glomerulonephritis,Ac proliferat nephritis
580_4,Acute glomerulonephritis with lesion of rapidly progressive glomerulonephritis,Ac rapidly progr nephrit
580_8_1,Acute glomerulonephritis in diseases classified elsewhere,Ac nephritis in oth dis
580_8_9,Acute glomerulonephritis with other specified pathological lesion in kidney,Acute nephritis NEC
580_9,Acute glomerulonephritis with unspecified pathological lesion in kidney,Acute nephritis NOS
581_0,Nephrotic syndrome with lesion of proliferative glomerulonephritis,"Nephrotic syn, prolifer"
581_1,Nephrotic syndrome with lesion of membranous glomerulonephritis,Epimembranous nephritis
581_2,Nephrotic syndrome with lesion of membranoproliferative glomerulonephritis,Membranoprolif nephrosis
581_3,Nephrotic syndrome with lesion of minimal change glomerulonephritis,Minimal change nephrosis
581_8_1,Nephrotic syndrome in diseases classified elsewhere,Nephrotic syn in oth dis
581_8_9,Nephrotic syndrome with other specified pathological lesion in kidney,Nephrotic syndrome NEC
581_9,Nephrotic syndrome with unspecified pathological lesion in kidney,Nephrotic syndrome NOS
582_0,Chronic glomerulonephritis with lesion of proliferative glomerulonephritis,Chr proliferat nephritis
582_1,Chronic glomerulonephritis with lesion of membranous glomerulonephritis,Chr membranous nephritis
582_2,Chronic glomerulonephritis with lesion of membranoproliferative glomerulonephritis,Chr membranoprolif nephr
582_4,Chronic glomerulonephritis with lesion of rapidly progressive glomerulonephritis,Chr rapid progr nephrit
582_8_1,Chronic glomerulonephritis in diseases classified elsewhere,Chr nephritis in oth dis
582_8_9,Chronic glomerulonephritis with other specified pathological lesion in kidney,Chronic nephritis NEC
582_9,Chronic glomerulonephritis with unspecified pathological lesion in kidney,Chronic nephritis NOS
583_0,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of proliferative glomerulonephritis",Proliferat nephritis NOS
583_1,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranous glomerulonephritis",Membranous nephritis NOS
583_2,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranoproliferative glomerulonephritis",Membranoprolif nephr NOS
583_4,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of rapidly progressive glomerulonephritis",Rapidly prog nephrit NOS
583_6,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of renal cortical necrosis",Renal cort necrosis NOS
583_7,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of renal medullary necrosis",Nephr NOS/medull necros
583_8_1,"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere",Nephritis NOS in oth dis
583_8_9,"Nephritis and nephropathy, not specified as acute or chronic, with other specified pathological lesion in kidney",Nephritis NEC
583_9,"Nephritis and nephropathy, not specified as acute or chronic, with unspecified pathological lesion in kidney",Nephritis NOS
584_5,Acute kidney failure with lesion of tubular necrosis,"Ac kidny fail, tubr necr"
584_6,Acute kidney failure with lesion of renal cortical necrosis,"Ac kidny fail, cort necr"
584_7,Acute kidney failure with lesion of renal medullary [papillary] necrosis,"Ac kidny fail, medu necr"
584_8,Acute kidney failure with other specified pathological lesion in kidney,Acute kidney failure NEC
584_9,"Acute kidney failure, unspecified",Acute kidney failure NOS
585_1,"Chronic kidney disease, Stage I",Chro kidney dis stage I
585_2,"Chronic kidney disease, Stage II (mild)",Chro kidney dis stage II
585_3,"Chronic kidney disease, Stage III (moderate)",Chr kidney dis stage III
585_4,"Chronic kidney disease, Stage IV (severe)",Chr kidney dis stage IV
585_5,"Chronic kidney disease, Stage V",Chron kidney dis stage V
585_6,End stage renal disease,End stage renal disease
585_9,"Chronic kidney disease, unspecified",Chronic kidney dis NOS
586,"Renal failure, unspecified",Renal failure NOS
587,"Renal sclerosis, unspecified",Renal sclerosis NOS
588_0,Renal osteodystrophy,Renal osteodystrophy
588_1,Nephrogenic diabetes insipidus,Nephrogen diabetes insip
588_8_1,Secondary hyperparathyroidism (of renal origin),Sec hyperparathyrd-renal
588_8_9,Other specified disorders resulting from impaired renal function,Impair ren funct dis NEC
588_9,Unspecified disorder resulting from impaired renal function,Impaired renal funct NOS
589_0,Unilateral small kidney,Unilateral small kidney
589_1,Bilateral small kidneys,Bilateral small kidneys
589_9,"Small kidney, unspecified",Small kidney NOS
590_0_0,Chronic pyelonephritis without lesion of renal medullary necrosis,Chr pyelonephritis NOS
590_0_1,Chronic pyelonephritis with lesion of renal medullary necrosis,Chr pyeloneph w med necr
590_1_0,Acute pyelonephritis without lesion of renal medullary necrosis,Ac pyelonephritis NOS
590_1_1,Acute pyelonephritis with lesion of renal medullary necrosis,Ac pyelonephr w med necr
590_2,Renal and perinephric abscess,Renal/perirenal abscess
590_3,Pyeloureteritis cystica,Pyeloureteritis cystica
590_8_0,"Pyelonephritis, unspecified",Pyelonephritis NOS
590_8_1,Pyelitis or pyelonephritis in diseases classified elsewhere,Pyelonephrit in oth dis
590_9,"Infection of kidney, unspecified",Infection of kidney NOS
591,Hydronephrosis,Hydronephrosis
592_0,Calculus of kidney,Calculus of kidney
592_1,Calculus of ureter,Calculus of ureter
592_9,"Urinary calculus, unspecified",Urinary calculus NOS
593_0,Nephroptosis,Nephroptosis
593_1,Hypertrophy of kidney,Hypertrophy of kidney
593_2,"Cyst of kidney, acquired","Cyst of kidney, acquired"
593_3,Stricture or kinking of ureter,Stricture of ureter
593_4,Other ureteric obstruction,Ureteric obstruction NEC
593_5,Hydroureter,Hydroureter
593_6,Postural proteinuria,Postural proteinuria
593_7_0,Vesicoureteral reflux unspecified or without reflux nephropathy,Vescouretrl rflux unspcf
593_7_1,"Vesicoureteral reflux with reflux nephropathy, unilateral",Vscurt rflx npht uniltrl
593_7_2,"Vesicoureteral reflux with reflux nephropathy, bilateral",Vscourtl rflx npht bltrl
593_7_3,Other vesicoureteral reflux with reflux nephropathy NOS,Vscourtl rflx w npht NOS
593_8_1,Vascular disorders of kidney,Renal vascular disorder
593_8_2,Ureteral fistula,Ureteral fistula
593_8_9,Other specified disorders of kidney and ureter,Renal & ureteral dis NEC
593_9,Unspecified disorder of kidney and ureter,Renal & ureteral dis NOS
594_0,Calculus in diverticulum of bladder,Blad diverticulum calcul
594_1,Other calculus in bladder,Bladder calculus NEC
594_2,Calculus in urethra,Urethral calculus
594_8,Other lower urinary tract calculus,Lower urin calcul NEC
594_9,"Calculus of lower urinary tract, unspecified",Lower urin calcul NOS
595_0,Acute cystitis,Acute cystitis
595_1,Chronic interstitial cystitis,Chr interstit cystitis
595_2,Other chronic cystitis,Chronic cystitis NEC
595_3,Trigonitis,Trigonitis
595_4,Cystitis in diseases classified elsewhere,Cystitis in oth dis
595_8_1,Cystitis cystica,Cystitis cystica
595_8_2,Irradiation cystitis,Irradiation cystitis
595_8_9,Other specified types of cystitis,Cystitis NEC
595_9,"Cystitis, unspecified",Cystitis NOS
596_0,Bladder neck obstruction,Bladder neck obstruction
596_1,Intestinovesical fistula,Intestinovesical fistula
596_2,"Vesical fistula, not elsewhere classified",Vesical fistula NEC
596_3,Diverticulum of bladder,Diverticulum of bladder
596_4,Atony of bladder,Atony of bladder
596_5_1,Hypertonicity of bladder,Hypertonicity of bladder
596_5_2,Low bladder compliance,Low bladder compliance
596_5_3,Paralysis of bladder,Paralysis of bladder
596_5_4,Neurogenic bladder NOS,Neurogenic bladder NOS
596_5_5,Detrusor sphincter dyssynergia,Detrusr sphinc dyssnrgia
596_5_9,Other functional disorder of bladder,Oth func dsdr bladder
596_6,"Rupture of bladder, nontraumatic","Bladder rupt, nontraum"
596_7,Hemorrhage into bladder wall,Bladder wall hemorrhage
596_8_1,Infection of cystostomy,Infection of cystostomy
596_8_2,Mechanical complication of cystostomy,Mech comp of cystostomy
596_8_3,Other complication of cystostomy,Other comp of cystostomy
596_8_9,Other specified disorders of bladder,Disorders of bladder NEC
596_9,Unspecified disorder of bladder,Bladder disorder NOS
597_0,Urethral abscess,Urethral abscess
597_8_0,"Urethritis, unspecified",Urethritis NOS
597_8_1,Urethral syndrome NOS,Urethral syndrome NOS
597_8_9,Other urethritis,Urethritis NEC
598_0_0,Urethral stricture due to unspecified infection,Urethr strict:infect NOS
598_0_1,Urethral stricture due to infective diseases classified elsewhere,Ureth strict:oth infect
598_1,Traumatic urethral stricture,Traum urethral stricture
598_2,Postoperative urethral stricture,Postop urethral strictur
598_8,Other specified causes of urethral stricture,Urethral stricture NEC
598_9,"Urethral stricture, unspecified",Urethral stricture NOS
599_0,"Urinary tract infection, site not specified",Urin tract infection NOS
599_1,Urethral fistula,Urethral fistula
599_2,Urethral diverticulum,Urethral diverticulum
599_3,Urethral caruncle,Urethral caruncle
599_4,Urethral false passage,Urethral false passage
599_5,Prolapsed urethral mucosa,Prolapse urethral mucosa
599_6_0,"Urinary obstruction, unspecified",Urinary obstruction NOS
599_6_9,"Urinary obstruction, not elsewhere classified",Urinary obstruction NEC
599_7_0,"Hematuria, unspecified",Hematuria NOS
599_7_1,Gross hematuria,Gross hematuria
599_7_2,Microscopic hematuria,Microscopic hematuria
599_8_1,Urethral hypermobility,Urethral hypermobility
599_8_2,Intrinsic (urethral) sphincter deficiency [ISD],Intrinsc sphnctr dficncy
599_8_3,Urethral instability,Urethral instability
599_8_4,Other specified disorders of urethra,Oth spcf dsdr urethra
599_8_9,Other specified disorders of urinary tract,Oth spcf dsdr urnry trct
599_9,Unspecified disorder of urethra and urinary tract,Urinary tract dis NOS
600_0_0,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),BPH w/o urinary obs/LUTS
600_0_1,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),BPH w urinary obs/LUTS
600_1_0,Nodular prostate without urinary obstruction,Nod prostate w/o ur obst
600_1_1,Nodular prostate with urinary obstruction,Nod prostate w ur obst
600_2_0,Benign localized hyperplasia of prostate without urinary obstruction and other lower urinary tract symptoms (LUTS),BPH loc w/o ur obs/LUTS
600_2_1,Benign localized hyperplasia of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),BPH loc w urin obs/LUTS
600_3,Cyst of prostate,Cyst of prostate
600_9_0,"Hyperplasia of prostate, unspecified, without urinary obstruction and other lower urinary symptoms (LUTS)",BPH NOS w/o ur obs/LUTS
600_9_1,"Hyperplasia of prostate, unspecified, with urinary obstruction and other lower urinary symptoms (LUTS)",BPH NOS w ur obs/LUTS
601_0,Acute prostatitis,Acute prostatitis
601_1,Chronic prostatitis,Chronic prostatitis
601_2,Abscess of prostate,Abscess of prostate
601_3,Prostatocystitis,Prostatocystitis
601_4,Prostatitis in diseases classified elsewhere,Prostatitis in oth dis
601_8,Other specified inflammatory diseases of prostate,Prostatic inflam dis NEC
601_9,"Prostatitis, unspecified",Prostatitis NOS
602_0,Calculus of prostate,Calculus of prostate
602_1,Congestion or hemorrhage of prostate,Prostatic congest/hemorr
602_2,Atrophy of prostate,Atrophy of prostate
602_3,Dysplasia of prostate,Dysplasia of prostate
602_8,Other specified disorders of prostate,Prostatic disorders NEC
602_9,Unspecified disorder of prostate,Prostatic disorder NOS
603_0,Encysted hydrocele,Encysted hydrocele
603_1,Infected hydrocele,Infected hydrocele
603_8,Other specified types of hydrocele,Hydrocele NEC
603_9,"Hydrocele, unspecified",Hydrocele NOS
604_0,"Orchitis, epididymitis, and epididymo-orchitis, with abscess",Orchitis with abscess
604_9_0,"Orchitis and epididymitis, unspecified",Orchitis/epididymit NOS
604_9_1,Orchitis and epididymitis in diseases classified elsewhere,Orchitis in oth disease
604_9_9,"Other orchitis, epididymitis, and epididymo-orchitis, without mention of abscess",Orchitis/epididymit NEC
605,Redundant prepuce and phimosis,Redun prepuce & phimosis
606_0,Azoospermia,Azoospermia
606_1,Oligospermia,Oligospermia
606_8,Infertility due to extratesticular causes,Male infertility NEC
606_9,"Male infertility, unspecified",Male infertility NOS
607_0,Leukoplakia of penis,Leukoplakia of penis
607_1,Balanoposthitis,Balanoposthitis
607_2,Other inflammatory disorders of penis,"Inflam dis, penis NEC"
607_3,Priapism,Priapism
607_8_1,Balanitis xerotica obliterans,Balanitis xerotica oblit
607_8_2,Vascular disorders of penis,"Vascular disorder, penis"
607_8_3,Edema of penis,Edema of penis
607_8_4,Impotence of organic origin,"Impotence, organic orign"
607_8_5,Peyronie's disease,Peyronie's disease
607_8_9,Other specified disorders of penis,Disorder of penis NEC
607_9,Unspecified disorder of penis,Disorder of penis NOS
608_0,Seminal vesiculitis,Seminal vesiculitis
608_1,Spermatocele,Spermatocele
608_2_0,"Torsion of testis, unspecified",Torsion of testis NOS
608_2_1,Extravaginal torsion of spermatic cord,Extravag tors sperm cord
608_2_2,Intravaginal torsion of spermatic cord,Intravag tors sperm cord
608_2_3,Torsion of appendix testis,Torsion appendix testis
608_2_4,Torsion of appendix epididymis,Torsion appy epididymis
608_3,Atrophy of testis,Atrophy of testis
608_4,Other inflammatory disorders of male genital organs,Male gen inflam dis NEC
608_8_1,Disorders of male genital organs in diseases classified elsewhere,Male gen dis in oth dis
608_8_2,Hematospermia,Hematospermia
608_8_3,Vascular disorders of male genital organs,Male gen vascul dis NEC
608_8_4,Chylocele of tunica vaginalis,"Chylocele, tunic vaginal"
608_8_5,Stricture of male genital organs,"Stricture, male gen orgn"
608_8_6,Edema of male genital organs,"Edema, male genital orgn"
608_8_7,Retrograde ejaculation,Retrograde ejaculation
608_8_9,Other specified disorders of male genital organs,Male genital dis NEC
608_9,Unspecified disorder of male genital organs,Male genital dis NOS
610_0,Solitary cyst of breast,Solitary cyst of breast
610_1,Diffuse cystic mastopathy,Diffus cystic mastopathy
610_2,Fibroadenosis of breast,Fibroadenosis of breast
610_3,Fibrosclerosis of breast,Fibrosclerosis of breast
610_4,Mammary duct ectasia,Mammary duct ectasia
610_8,Other specified benign mammary dysplasias,Benign mamm dysplas NEC
610_9,"Benign mammary dysplasia, unspecified",Benign mamm dysplas NOS
611_0,Inflammatory disease of breast,Inflam disease of breast
611_1,Hypertrophy of breast,Hypertrophy of breast
611_2,Fissure of nipple,Fissure of nipple
611_3,Fat necrosis of breast,Fat necrosis of breast
611_4,Atrophy of breast,Atrophy of breast
611_5,Galactocele,Galactocele
611_6,Galactorrhea not associated with childbirth,Galactorrhea-nonobstet
611_7_1,Mastodynia,Mastodynia
611_7_2,Lump or mass in breast,Lump or mass in breast
611_7_9,Other signs and symptoms in breast,Symptoms in breast NEC
611_8_1,Ptosis of breast,Ptosis of breast
611_8_2,Hypoplasia of breast,Hypoplasia of breast
611_8_3,Capsular contracture of breast implant,Capslr contrctr brst imp
611_8_9,Other specified disorders of breast,Disorders breast NEC
611_9,Unspecified breast disorder,Breast disorder NOS
612_0,Deformity of reconstructed breast,Deformity reconst breast
612_1,Disproportion of reconstructed breast,Disproportn reconst brst
614_0,Acute salpingitis and oophoritis,Ac salpingo-oophoritis
614_1,Chronic salpingitis and oophoritis,Chr salpingo-oophoritis
614_2,"Salpingitis and oophoritis not specified as acute, subacute, or chronic",Salpingo-oophoritis NOS
614_3,Acute parametritis and pelvic cellulitis,Acute parametritis
614_4,Chronic or unspecified parametritis and pelvic cellulitis,Chronic parametritis
614_5,"Acute or unspecified pelvic peritonitis, female",Ac pelv peritonitis-fem
614_6,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)",Fem pelvic periton adhes
614_7,"Other chronic pelvic peritonitis, female",Chr pelv periton NEC-fem
614_8,Other specified inflammatory disease of female pelvic organs and tissues,Fem pelv inflam dis NEC
614_9,Unspecified inflammatory disease of female pelvic organs and tissues,Fem pelv inflam dis NOS
615_0,"Acute inflammatory diseases of uterus, except cervix",Ac uterine inflammation
615_1,"Chronic inflammatory diseases of uterus, except cervix",Chr uterine inflammation
615_9,Unspecified inflammatory disease of uterus,Uterine inflam dis NOS
616_0,Cervicitis and endocervicitis,Cervicitis
616_1_0,"Vaginitis and vulvovaginitis, unspecified",Vaginitis NOS
616_1_1,Vaginitis and vulvovaginitis in diseases classified elsewhere,Vaginitis in oth disease
616_2,Cyst of Bartholin's gland,Bartholin's gland cyst
616_3,Abscess of Bartholin's gland,Bartholin's glnd abscess
616_4,Other abscess of vulva,Abscess of vulva NEC
616_5_0,"Ulceration of vulva, unspecified",Ulceration of vulva NOS
616_5_1,Ulceration of vulva in diseases classified elsewhere,Vulvar ulcer in oth dis
616_8_1,"Mucositis (ulcerative) of cervix, vagina, and vulva","Mucositis cerv,vag,vulva"
616_8_9,"Other inflammatory disease of cervix, vagina and vulva","Inflm cerv,vag,vulva NEC"
616_9,"Unspecified inflammatory disease of cervix, vagina, and vulva",Female gen inflam NOS
617_0,Endometriosis of uterus,Uterine endometriosis
617_1,Endometriosis of ovary,Ovarian endometriosis
617_2,Endometriosis of fallopian tube,Tubal endometriosis
617_3,Endometriosis of pelvic peritoneum,Pelv perit endometriosis
617_4,Endometriosis of rectovaginal septum and vagina,Vaginal endometriosis
617_5,Endometriosis of intestine,Intestinal endometriosis
617_6,Endometriosis in scar of skin,Endometriosis in scar
617_8,Endometriosis of other specified sites,Endometriosis NEC
617_9,"Endometriosis, site unspecified",Endometriosis NOS
618_0_0,Unspecified prolapse of vaginal walls,Vaginal wall prolpse NOS
618_0_1,"Cystocele, midline","Cystocele, midline"
618_0_2,"Cystocele, lateral","Cystocele, lateral"
618_0_3,Urethrocele,Urethrocele
618_0_4,Rectocele,Rectocele
618_0_5,Perineocele,Perineocele
618_0_9,Other prolapse of vaginal walls without mention of uterine prolapse,Cystourethrocele
618_1,Uterine prolapse without mention of vaginal wall prolapse,Uterine prolapse
618_2,"Uterovaginal prolapse, incomplete",Uterovag prolaps-incompl
618_3,"Uterovaginal prolapse, complete",Uterovag prolaps-complet
618_4,"Uterovaginal prolapse, unspecified",Utervaginal prolapse NOS
618_5,Prolapse of vaginal vault after hysterectomy,Postop vaginal prolapse
618_6,"Vaginal enterocele, congenital or acquired",Vaginal enterocele
618_7,Old laceration of muscles of pelvic floor,Old lacer pelvic muscle
618_8_1,Incompetence or weakening of pubocervical tissue,Incomptnce pubocerv tiss
618_8_2,Incompetence or weakening of rectovaginal tissue,Incomptnce rectovag tiss
618_8_3,Pelvic muscle wasting,Pelvic muscle wasting
618_8_4,Cervical stump prolapse,Cervical stump prolapse
618_8_9,Other specified genital prolapse,Genital prolapse NEC
618_9,Unspecified genital prolapse,Genital prolapse NOS
619_0,"Urinary-genital tract fistula, female","Urin-genital fistul, fem"
619_1,"Digestive-genital tract fistula, female","Digest-genit fistul, fem"
619_2,"Genital tract-skin fistula, female","Genital-skin fistul, fem"
619_8,Other specified fistulas involving female genital tract,Fem genital fistula NEC
619_9,Unspecified fistula involving female genital tract,Fem genital fistula NOS
620_0,Follicular cyst of ovary,Follicular cyst of ovary
620_1,Corpus luteum cyst or hematoma,Corpus luteum cyst
620_2,Other and unspecified ovarian cyst,Ovarian cyst NEC/NOS
620_3,Acquired atrophy of ovary and fallopian tube,Acq atrophy ovary & tube
620_4,Prolapse or hernia of ovary and fallopian tube,Prolapse of ovary & tube
620_5,"Torsion of ovary, ovarian pedicle, or fallopian tube",Torsion of ovary or tube
620_6,Broad ligament laceration syndrome,Broad ligament lacer syn
620_7,Hematoma of broad ligament,Broad ligament hematoma
620_8,"Other noninflammatory disorders of ovary, fallopian tube, and broad ligament",Noninfl dis ova/adnx NEC
620_9,"Unspecified noninflammatory disorder of ovary, fallopian tube, and broad ligament",Noninfl dis ova/adnx NOS
621_0,Polyp of corpus uteri,Polyp of corpus uteri
621_1,Chronic subinvolution of uterus,Chr uterine subinvolutn
621_2,Hypertrophy of uterus,Hypertrophy of uterus
621_3_0,"Endometrial hyperplasia, unspecified",Endometrial hyperpla NOS
621_3_1,Simple endometrial hyperplasia without atypia,Simp endo hyper w/o atyp
621_3_2,Complex endometrial hyperplasia without atypia,Comp endo hyper w/o atyp
621_3_3,Endometrial hyperplasia with atypia,Endomet hyperpla w atyp
621_3_4,Benign endometrial hyperplasia,Ben endomet hyperplasia
621_3_5,Endometrial intraepithelial neoplasia [EIN],Endomet intraepithl neop
621_4,Hematometra,Hematometra
621_5,Intrauterine synechiae,Intrauterine synechiae
621_6,Malposition of uterus,Malposition of uterus
621_7,Chronic inversion of uterus,Chr inversion of uterus
621_8,"Other specified disorders of uterus, not elsewhere classified",Disorders of uterus NEC
621_9,Unspecified disorder of uterus,Disorder of uterus NOS
622_0,Erosion and ectropion of cervix,Erosion/ectropion cervix
622_1_0,"Dysplasia of cervix, unspecified",Dysplasia of cervix NOS
622_1_1,Mild dysplasia of cervix,Mild dysplasia of cervix
622_1_2,Moderate dysplasia of cervix,Mod dysplasia of cervix
622_2,Leukoplakia of cervix (uteri),Leukoplakia of cervix
622_3,Old laceration of cervix,Old laceration of cervix
622_4,Stricture and stenosis of cervix,Stricture of cervix
622_5,Incompetence of cervix,Incompetence of cervix
622_6,Hypertrophic elongation of cervix,Hypertrophic elong cervx
622_7,Mucous polyp of cervix,Mucous polyp of cervix
622_8,Other specified noninflammatory disorders of cervix,Noninflam dis cervix NEC
622_9,Unspecified noninflammatory disorder of cervix,Noninflam dis cervix NOS
623_0,Dysplasia of vagina,Dysplasia of vagina
623_1,Leukoplakia of vagina,Leukoplakia of vagina
623_2,Stricture or atresia of vagina,Stricture of vagina
623_3,Tight hymenal ring,Tight hymenal ring
623_4,Old vaginal laceration,Old vaginal laceration
623_5,"Leukorrhea, not specified as infective",Noninfect vag leukorrhea
623_6,Vaginal hematoma,Vaginal hematoma
623_7,Polyp of vagina,Polyp of vagina
623_8,Other specified noninflammatory disorders of vagina,Noninflam dis vagina NEC
623_9,Unspecified noninflammatory disorder of vagina,Noninflam dis vagina NOS
624_0_1,Vulvar intraepithelial neoplasia I [VIN I],Vulvar intraeph neopl I
624_0_2,Vulvar intraepithelial neoplasia II [VIN II],Vulvr intraepth neopl II
624_0_9,Other dystrophy of vulva,Dystrophy of vulva NEC
624_1,Atrophy of vulva,Atrophy of vulva
624_2,Hypertrophy of clitoris,Hypertrophy of clitoris
624_3,Hypertrophy of labia,Hypertrophy of labia
624_4,Old laceration or scarring of vulva,Old laceration of vulva
624_5,Hematoma of vulva,Hematoma of vulva
624_6,Polyp of labia and vulva,Polyp of labia and vulva
624_8,Other specified noninflammatory disorders of vulva and perineum,Noninflam dis vulva NEC
624_9,Unspecified noninflammatory disorder of vulva and perineum,Noninflam dis vulva NOS
625_0,Dyspareunia,Dyspareunia
625_1,Vaginismus,Vaginismus
625_2,Mittelschmerz,Mittelschmerz
625_3,Dysmenorrhea,Dysmenorrhea
625_4,Premenstrual tension syndromes,Premenstrual tension
625_5,Pelvic congestion syndrome,Pelvic congestion synd
625_6,"Stress incontinence, female",Fem stress incontinence
625_7_0,"Vulvodynia, unspecified",Vulvodynia NOS
625_7_1,Vulvar vestibulitis,Vulvar vestibulitis
625_7_9,Other vulvodynia,Other vulvodynia
625_8,Other specified symptoms associated with female genital organs,Fem genital symptoms NEC
625_9,Unspecified symptom associated with female genital organs,Fem genital symptoms NOS
626_0,Absence of menstruation,Absence of menstruation
626_1,Scanty or infrequent menstruation,Scanty menstruation
626_2,Excessive or frequent menstruation,Excessive menstruation
626_3,Puberty bleeding,Pubertal menorrhagia
626_4,Irregular menstrual cycle,Irregular menstruation
626_5,Ovulation bleeding,Ovulation bleeding
626_6,Metrorrhagia,Metrorrhagia
626_7,Postcoital bleeding,Postcoital bleeding
626_8,Other disorders of menstruation and other abnormal bleeding from female genital tract,Menstrual disorder NEC
626_9,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract,Menstrual disorder NOS
627_0,Premenopausal menorrhagia,Premenopause menorrhagia
627_1,Postmenopausal bleeding,Postmenopausal bleeding
627_2,Symptomatic menopausal or female climacteric states,Sympt fem climact state
627_3,Postmenopausal atrophic vaginitis,Atrophic vaginitis
627_4,Symptomatic states associated with artificial menopause,Sympt state w artif meno
627_8,Other specified menopausal and postmenopausal disorders,Menopausal disorder NEC
627_9,Unspecified menopausal and postmenopausal disorder,Menopausal disorder NOS
628_0,"Infertility, female, associated with anovulation",Infertility-anovulation
628_1,"Infertility, female, of pituitary-hypothalamic origin",Infertil-pituitary orig
628_2,"Infertility, female, of tubal origin",Infertility-tubal origin
628_3,"Infertility, female, of uterine origin",Infertility-uterine orig
628_4,"Infertility, female, of cervical or vaginal origin",Infertil-cervical orig
628_8,"Infertility, female, of other specified origin",Female infertility NEC
628_9,"Infertility, female, of unspecified origin",Female infertility NOS
629_0,"Hematocele, female, not elsewhere classified","Hematocele, female NEC"
629_1,"Hydrocele, canal of nuck",Hydrocele canal nuck-fem
